team,OVERALL_DEF_RANK,opp_gaa,opp_saa,opp_pk_pct,opp_gf_per_game,opp_sf_per_game,opp_pp_pct,opp_wins,opp_gp,def_rank,def_tier,updated_at,sa_ratio,opp_gaa_rank,opp_saa_rank,opp_pk_pct_rank,opp_gf_rank,pace_fast_rank,pace_slow_rank,OVERALL_DEF_SCORE
ANA,30.0,3.508,0.0,0.0,3.349,0.0,0.0,35.0,63.0,30,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 29, dtype: object",0.0,30,1,1,12,1,1,12.6
BOS,18.0,3.175,0.0,0.0,3.365,0.0,0.0,35.0,63.0,18,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 17, dtype: object",0.0,18,1,1,10,1,1,7.8
BUF,14.0,3.016,0.0,0.0,3.516,0.0,0.0,39.0,64.0,14,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 13, dtype: object",0.0,14,1,1,6,1,1,6.2
CAR,7.0,2.905,0.0,0.0,3.556,0.0,0.0,40.0,63.0,7,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 6, dtype: object",0.0,7,1,1,4,1,1,3.4000000000000004
CBJ,19.0,3.194,0.0,0.0,3.226,0.0,0.0,32.0,62.0,19,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 18, dtype: object",0.0,19,1,1,14,1,1,8.200000000000001
CGY,15.0,3.048,0.0,0.0,2.5,0.0,0.0,25.0,62.0,15,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 14, dtype: object",0.0,15,1,1,32,1,1,6.6
CHI,23.0,3.254,0.0,0.0,2.683,0.0,0.0,23.0,63.0,23,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 22, dtype: object",0.0,23,1,1,27,1,1,9.8
COL,1.0,2.5,0.0,0.0,3.839,0.0,0.0,43.0,62.0,1,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 0, dtype: object",0.0,1,1,1,1,1,1,1.0
DAL,2.0,2.746,0.0,0.0,3.492,0.0,0.0,39.0,63.0,2,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 1, dtype: object",0.0,2,1,1,7,1,1,1.4000000000000001
DET,8.0,2.969,0.0,0.0,2.953,0.0,0.0,36.0,64.0,8,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 7, dtype: object",0.0,8,1,1,21,1,1,3.8000000000000003
EDM,27.0,3.406,0.0,0.0,3.547,0.0,0.0,31.0,64.0,27,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 26, dtype: object",0.0,27,1,1,5,1,1,11.4
FLA,24.0,3.333,0.0,0.0,3.032,0.0,0.0,31.0,63.0,24,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 23, dtype: object",0.0,24,1,1,19,1,1,10.200000000000001
LAK,10.0,3.0,0.0,0.0,2.629,0.0,0.0,25.0,62.0,10,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 9, dtype: object",0.0,10,1,1,29,1,1,4.6
MIN,6.0,2.891,0.0,0.0,3.359,0.0,0.0,37.0,64.0,6,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 5, dtype: object",0.0,6,1,1,11,1,1,3.0000000000000004
MTL,26.0,3.371,0.0,0.0,3.581,0.0,0.0,34.0,62.0,26,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 25, dtype: object",0.0,26,1,1,3,1,1,11.0
NJD,10.0,3.0,0.0,0.0,2.594,0.0,0.0,32.0,64.0,11,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 10, dtype: object",0.0,10,1,1,31,1,1,4.6
NSH,28.0,3.429,0.0,0.0,2.968,0.0,0.0,28.0,63.0,28,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 27, dtype: object",0.0,28,1,1,20,1,1,11.8
NYI,5.0,2.859,0.0,0.0,2.938,0.0,0.0,36.0,64.0,5,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 4, dtype: object",0.0,5,1,1,22,1,1,2.6
NYR,19.0,3.194,0.0,0.0,2.726,0.0,0.0,24.0,62.0,20,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 19, dtype: object",0.0,19,1,1,26,1,1,8.200000000000001
OTT,19.0,3.194,0.0,0.0,3.419,0.0,0.0,31.0,62.0,21,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 20, dtype: object",0.0,19,1,1,8,1,1,8.200000000000001
PHI,17.0,3.129,0.0,0.0,2.919,0.0,0.0,29.0,62.0,17,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 16, dtype: object",0.0,17,1,1,23,1,1,7.4
PIT,9.0,2.984,0.0,0.0,3.381,0.0,0.0,32.0,63.0,9,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 8, dtype: object",0.0,9,1,1,9,1,1,4.2
SEA,10.0,3.0,0.0,0.0,2.855,0.0,0.0,29.0,62.0,12,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 11, dtype: object",0.0,10,1,1,25,1,1,4.6
SJS,29.0,3.475,0.0,0.0,3.098,0.0,0.0,30.0,61.0,29,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 28, dtype: object",0.0,29,1,1,18,1,1,12.200000000000001
STL,25.0,3.365,0.0,0.0,2.635,0.0,0.0,25.0,63.0,25,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 24, dtype: object",0.0,25,1,1,28,1,1,10.6
TBL,4.0,2.774,0.0,0.0,3.597,0.0,0.0,39.0,62.0,4,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 3, dtype: object",0.0,4,1,1,2,1,1,2.2
TOR,31.0,3.531,0.0,0.0,3.156,0.0,0.0,27.0,64.0,31,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 30, dtype: object",0.0,31,1,1,16,1,1,13.0
UTA,2.0,2.746,0.0,0.0,3.19,0.0,0.0,34.0,63.0,3,ELITE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 2, dtype: object",0.0,2,1,1,15,1,1,1.4000000000000001
VAN,32.0,3.746,0.0,0.0,2.619,0.0,0.0,19.0,63.0,32,WEAK,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 31, dtype: object",0.0,32,1,1,30,1,1,13.4
VGK,22.0,3.203,0.0,0.0,3.266,0.0,0.0,29.0,64.0,22,AVERAGE,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 21, dtype: object",0.0,22,1,1,13,1,1,9.4
WPG,15.0,3.048,0.0,0.0,2.871,0.0,0.0,26.0,62.0,16,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 15, dtype: object",0.0,15,1,1,24,1,1,6.6
WSH,10.0,3.0,0.0,0.0,3.125,0.0,0.0,31.0,64.0,13,SOLID,"updated_at                           2026-03-12T08:04:39.668755
updated_at    updated_at                           2026-03-1...
Name: 12, dtype: object",0.0,10,1,1,17,1,1,4.6
