TEAM_ABBREVIATION,OPP_PTS,OPP_FGA,OPP_FGM,OPP_FG3A,OPP_FG3M,OPP_FTA,OPP_TOV,OPP_2PA,OPP_2PM,OPP_2PTS,OPP_PTS_RANK,OPP_FG3M_RANK,OPP_FG3A_RANK,OPP_FGA_RANK,OPP_FGM_RANK,OPP_2PA_RANK,OPP_2PM_RANK,OPP_2PTS_RANK,OPP_FTA_RANK,OPP_TOV_FORCED_RANK,OVERALL_DEF_SCORE,OVERALL_DEF_RANK,DEF_TIER
ATL,118.6,90.6,43.1,37.3,13.4,23.8,15.9,53.3,29.700000000000003,59.400000000000006,24,17,18,22,23,19,22,22,17,5,21.892473118279568,25,Weak
BOS,108.4,86.6,38.4,38.7,14.0,22.3,13.3,47.89999999999999,24.4,48.8,2,24,23,5,2,1,2,2,7,26,5.118279569892472,1,Elite
BKN,114.9,85.7,42.2,33.1,12.4,23.1,13.8,52.6,29.800000000000004,59.60000000000001,13,6,2,3,17,14,24,24,13,19,13.806451612903224,14,Above Avg
CHA,113.8,89.2,42.1,35.7,13.0,20.6,12.5,53.5,29.1,58.2,11,12,8,15,15,20,16,16,1,29,12.344086021505376,11,Above Avg
CHI,120.6,92.9,44.5,37.3,14.0,22.9,12.6,55.60000000000001,30.5,61.0,27,24,18,28,29,28,26,26,12,28,25.763440860215052,28,Weak
CLE,115.9,89.6,41.5,37.4,13.9,23.8,15.9,52.199999999999996,27.6,55.2,16,22,20,18,12,13,8,8,17,5,14.795698924731182,16,Avg
DAL,117.4,94.2,43.9,35.9,12.1,22.3,13.5,58.300000000000004,31.799999999999997,63.599999999999994,21,3,10,30,26,30,30,30,7,23,21.35483870967742,23,Weak
DEN,116.3,90.7,42.4,37.9,13.3,23.4,11.9,52.800000000000004,29.099999999999998,58.199999999999996,19,16,21,23,18,16,15,15,14,30,17.817204301075268,19,Avg
DET,109.3,84.5,37.2,36.3,12.6,27.9,17.4,48.2,24.6,49.2,3,8,12,1,1,3,3,3,30,1,5.21505376344086,2,Elite
GSW,113.7,88.5,41.7,35.6,12.5,22.2,16.1,52.9,29.200000000000003,58.400000000000006,10,7,7,13,13,17,20,20,5,4,11.827956989247312,10,Above Avg
HOU,109.6,88.0,40.3,35.1,12.3,22.2,13.6,52.9,27.999999999999996,55.99999999999999,4,4,4,10,7,17,10,10,5,21,6.344086021505376,4,Elite
IND,118.6,89.1,43.1,33.3,11.5,27.3,13.9,55.8,31.6,63.2,24,1,3,14,23,29,29,29,28,18,21.387096774193548,24,Weak
LAC,112.3,87.6,40.8,36.9,13.5,21.5,13.6,50.699999999999996,27.299999999999997,54.599999999999994,8,19,15,8,8,10,7,7,3,21,8.591397849462366,8,Above Avg
LAL,116.0,88.0,42.8,36.9,13.4,21.6,14.6,51.1,29.4,58.8,18,17,15,10,21,11,21,21,4,15,16.956989247311828,18,Avg
MEM,117.5,91.1,42.7,39.6,14.3,22.5,14.9,51.49999999999999,28.400000000000002,56.800000000000004,22,26,27,24,19,12,12,12,10,13,19.35483870967742,21,Avg
MIA,117.2,93.3,42.7,39.6,13.8,22.3,15.7,53.699999999999996,28.900000000000002,57.800000000000004,20,20,27,29,19,22,14,14,7,8,18.666666666666664,20,Avg
MIL,115.2,87.9,40.8,39.1,14.4,24.6,13.2,48.800000000000004,26.4,52.8,14,27,26,9,8,4,5,5,22,27,12.806451612903224,12,Above Avg
MIN,114.8,89.7,41.4,35.2,12.6,24.8,15.2,54.5,28.799999999999997,57.599999999999994,12,8,5,19,11,26,13,13,23,11,13.21505376344086,13,Above Avg
NOP,120.4,91.5,43.8,41.2,14.6,23.4,14.8,50.3,29.199999999999996,58.39999999999999,26,29,29,26,25,8,19,19,14,14,23.946236559139784,26,Weak
NYK,111.9,86.8,39.9,38.7,13.8,23.6,14.1,48.099999999999994,26.099999999999998,52.199999999999996,6,20,23,6,4,2,4,4,16,17,7.612903225806451,6,Elite
OKC,108.0,88.2,38.4,38.9,14.4,22.6,17.0,49.300000000000004,24.0,48.0,1,27,25,12,2,5,1,1,11,2,6.053763440860214,3,Elite
ORL,115.2,87.1,41.9,33.0,12.0,24.9,15.4,54.099999999999994,29.9,59.8,14,2,1,7,14,25,25,25,25,10,14.677419354838708,15,Avg
PHI,115.9,89.5,42.1,36.7,13.0,23.9,15.6,52.8,29.1,58.2,16,12,14,17,15,15,16,16,19,9,15.72043010752688,17,Avg
PHX,111.8,85.6,40.2,35.3,12.3,24.5,16.7,50.3,27.900000000000002,55.800000000000004,5,4,6,2,6,8,9,9,20,3,6.720430107526881,5,Elite
POR,118.3,90.1,42.8,36.1,13.0,24.8,15.2,53.99999999999999,29.799999999999997,59.599999999999994,23,12,11,20,21,23,23,23,23,11,21.064516129032256,22,Avg
SAC,120.6,89.2,44.1,35.7,12.8,25.0,14.2,53.5,31.3,62.6,27,10,8,15,27,20,28,28,26,16,23.956989247311824,27,Weak
SAS,112.2,90.4,41.2,36.4,13.2,21.1,13.5,54.00000000000001,28.000000000000004,56.00000000000001,7,15,13,21,10,24,11,11,2,23,10.225806451612902,9,Above Avg
TOR,112.3,86.5,39.9,37.1,12.8,24.5,15.8,49.4,27.099999999999998,54.199999999999996,8,10,17,4,4,6,6,6,20,7,7.634408602150537,7,Elite
UTA,125.9,91.4,44.6,41.8,15.5,27.4,13.7,49.60000000000001,29.1,58.2,30,30,30,25,30,7,16,16,29,20,27.118279569892472,29,Weak
WAS,123.1,92.8,44.4,38.0,13.9,25.8,13.5,54.8,30.5,61.0,29,22,22,27,28,27,26,26,27,23,27.161290322580644,30,Weak
