team_name,pp_name,league,gp,goals_conceded,goals_conceded_pg,shots_conceded_pg,clean_sheets,wins,draws,losses,OVERALL_DEF_RANK,DEF_TIER
Boca Juniors,BOCA JUNIORS,Argentina,9,6.0,0.667,,0,3,0,2,7,Elite
Estudiantes de La Plata,ESTUDIANTES,Argentina,8,3.0,0.375,,0,4,0,1,1,Elite
Independiente,INDEPENDIENTE,Argentina,9,11.0,1.222,,0,3,0,1,22,Avg
Lanús,LANÚS,Argentina,7,12.0,1.714,,0,2,0,2,29,Weak
Newell's Old Boys,NEWELL'S,Argentina,9,17.0,1.889,,0,0,0,6,30,Weak
San Lorenzo,SAN LORENZO,Argentina,9,6.0,0.667,,0,3,0,2,7,Elite
Talleres (Córdoba),TALLERES,Argentina,8,9.0,1.125,,0,3,0,3,20,Avg
Unión (Santa Fe),UNIÓN,Argentina,9,9.0,1.0,,0,4,0,2,15,Above Avg
Vélez Sarsfield,VÉLEZ,Argentina,9,5.0,0.556,,0,5,0,0,4,Elite
Instituto (Córdoba),INSTITUTO,Argentina,8,10.0,1.25,,0,2,0,4,25,Weak
Platense,PLATENSE,Argentina,9,4.0,0.444,,0,3,0,1,3,Elite
Defensa y Justicia,DEF Y JUSTICIA,Argentina,8,5.0,0.625,,0,2,0,0,5,Elite
Gimnasia (Mendoza),GIMNASIA (MENDOZA),Argentina,8,10.0,1.25,,0,2,0,4,25,Weak
Central Córdoba (Santiago del Estero),CENTRAL CÓRDOBA,Argentina,8,6.0,0.75,,0,2,0,4,10,Above Avg
Deportivo Riestra,RIESTRA,Argentina,8,5.0,0.625,,0,0,0,3,5,Elite
Argentinos Juniors,ARGENTINOS,Argentina,7,3.0,0.429,,0,2,0,1,2,Elite
Belgrano (Córdoba),BELGRANO,Argentina,8,7.0,0.875,,0,4,0,1,11,Above Avg
Gimnasia La Plata,GELP,Argentina,9,11.0,1.222,,0,4,0,3,22,Avg
Huracán,HURACÁN,Argentina,8,7.0,0.875,,0,3,0,2,11,Above Avg
Racing Club,RACING,Argentina,9,9.0,1.0,,0,3,0,3,15,Above Avg
River Plate,RIVER,Argentina,8,8.0,1.0,,0,3,0,3,15,Above Avg
Rosario Central,ROSARIO,Argentina,9,6.0,0.667,,0,4,0,2,7,Elite
Banfield,BANFIELD,Argentina,9,11.0,1.222,,0,3,0,5,22,Avg
Tigre,TIGRE,Argentina,9,8.0,0.889,,0,4,0,1,13,Above Avg
Aldosivi,ALDOSIVI,Argentina,8,9.0,1.125,,0,0,0,4,20,Avg
Independiente Rivadavia,INDEPENDIENTE RIVADAVIA,Argentina,9,10.0,1.111,,0,5,0,2,19,Avg
Atlético Tucumán,ATLETICO TUCUMAN,Argentina,9,14.0,1.556,,0,1,0,5,28,Weak
Barracas Central,BARRACAS,Argentina,9,8.0,0.889,,0,3,0,3,13,Above Avg
Sarmiento (Junín),SARMIENTO,Argentina,9,9.0,1.0,,0,3,0,5,15,Above Avg
Estudiantes de Río Cuarto,ESTUDIANTES DE RÍO CUARTO,Argentina,8,12.0,1.5,,0,1,0,6,27,Weak
Palmeiras,PALMEIRAS,Brazil,4,5.0,1.25,,0,3,0,0,9,Above Avg
São Paulo,SAO PAULO,Brazil,4,2.0,0.5,,0,3,0,0,1,Elite
Bahia,BAHIA,Brazil,4,3.0,0.75,,0,2,0,0,2,Elite
Flamengo,FLAMENGO,Brazil,4,4.0,1.0,,0,2,0,1,5,Elite
Coritiba,CORITIBA,Brazil,5,6.0,1.2,,0,2,0,2,8,Above Avg
Fluminense,FLUMINENSE,Brazil,4,4.0,1.0,,0,2,0,1,5,Elite
Athletico Paranaense,ATHLETICO PARANAENSE,Brazil,4,3.0,0.75,,0,2,0,1,2,Elite
Corinthians,CORINTHIANS,Brazil,5,5.0,1.0,,0,2,0,2,5,Elite
Red Bull Bragantino,RED BULL BRAGANTINO,Brazil,4,3.0,0.75,,0,2,0,1,2,Elite
Grêmio,GREMIO,Brazil,4,8.0,2.0,,0,2,0,2,14,Avg
Mirassol,MIRASSOL,Brazil,4,7.0,1.75,,0,1,0,0,13,Avg
Chapecoense,CHAPECOENSE,Brazil,3,6.0,2.0,,0,1,0,0,14,Avg
Atlético-MG,ATLÉTICO-MG,Brazil,5,8.0,1.6,,0,1,0,2,12,Avg
Santos,SANTOS,Brazil,5,10.0,2.0,,0,1,0,2,14,Avg
Vitória,VITÓRIA,Brazil,4,8.0,2.0,,0,1,0,2,14,Avg
Botafogo,BOTAFOGO,Brazil,3,6.0,2.0,,0,1,0,2,14,Avg
Remo,REMO,Brazil,4,8.0,2.0,,0,0,0,1,14,Avg
Internacional,INTERNACIONAL,Brazil,5,7.0,1.4,,0,0,0,3,10,Above Avg
Cruzeiro,CRUZEIRO,Brazil,5,11.0,2.2,,0,0,0,3,20,Weak
Vasco da Gama,VASCO,Brazil,4,6.0,1.5,,0,0,0,3,11,Avg
Bayern Munich,BAYERN MUNICH,Bundesliga,25,24.0,0.96,,0,21,0,1,1,Elite
Borussia Dortmund,DORTMUND,Bundesliga,25,26.0,1.04,,0,16,0,2,2,Elite
TSG Hoffenheim,HOFFENHEIM,Bundesliga,25,33.0,1.32,,0,15,0,6,4,Elite
VfB Stuttgart,STUTTGART,Bundesliga,25,34.0,1.36,,0,14,0,6,5,Above Avg
RB Leipzig,LEIPZIG,Bundesliga,25,34.0,1.36,,0,14,0,6,5,Above Avg
Bayer Leverkusen,LEVERKUSEN,Bundesliga,25,32.0,1.28,,0,13,0,7,3,Elite
Eintracht Frankfurt,FRANKFURT,Bundesliga,25,49.0,1.96,,0,9,0,8,16,Weak
SC Freiburg,FREIBURG,Bundesliga,25,42.0,1.68,,0,9,0,9,10,Avg
FC Augsburg,AUGSBURG,Bundesliga,25,43.0,1.72,,0,9,0,12,12,Avg
Hamburg SV,HAMBURG,Bundesliga,25,36.0,1.44,,0,7,0,10,7,Above Avg
1. FC Union Berlin,UNION BERLIN,Bundesliga,25,42.0,1.68,,0,7,0,11,10,Avg
Borussia Mönchengladbach,GLADBACH,Bundesliga,25,43.0,1.72,,0,6,0,12,12,Avg
Werder Bremen,WERDER BREMEN,Bundesliga,25,45.0,1.8,,0,6,0,12,15,Weak
FC Cologne,KOLN,Bundesliga,25,43.0,1.72,,0,6,0,13,12,Avg
Mainz,MAINZ,Bundesliga,25,41.0,1.64,,0,5,0,11,9,Above Avg
St. Pauli,ST. PAULI,Bundesliga,25,40.0,1.6,,0,6,0,13,8,Above Avg
VfL Wolfsburg,VFL WOLFSBURG,Bundesliga,25,55.0,2.2,,0,5,0,15,17,Weak
1. FC Heidenheim 1846,1. FC HEIDENHEIM 1846,Bundesliga,25,57.0,2.28,,0,3,0,17,18,Weak
Coventry City,COVENTRY CITY,Championship,37,38.0,1.027,,0,23,0,6,2,Elite
Middlesbrough,MIDDLESBROUGH,Championship,37,36.0,0.973,,0,20,0,8,1,Elite
Millwall,MILLWALL,Championship,37,41.0,1.108,,0,20,0,9,5,Elite
Ipswich Town,IPSWICH,Championship,36,38.0,1.056,,0,18,0,7,4,Elite
Hull City,HULL CITY,Championship,37,53.0,1.432,,0,19,0,12,20,Weak
Wrexham,WREXHAM,Championship,36,47.0,1.306,,0,15,0,9,16,Avg
Southampton,SOUTHAMPTON,Championship,36,47.0,1.306,,0,14,0,10,16,Avg
Derby County,DERBY COUNTY,Championship,37,48.0,1.297,,0,15,0,13,12,Above Avg
Watford,WATFORD,Championship,36,42.0,1.167,,0,13,0,10,6,Elite
Birmingham City,BIRMINGHAM,Championship,37,47.0,1.27,,0,14,0,13,11,Above Avg
Swansea City,SWANSEA CITY,Championship,37,44.0,1.189,,0,15,0,15,7,Above Avg
Bristol City,BRISTOL CITY,Championship,37,48.0,1.297,,0,14,0,15,12,Above Avg
Sheffield United,SHEFFIELD UNITED,Championship,37,51.0,1.378,,0,15,0,18,19,Weak
Preston North End,PRESTON NORTH END,Championship,37,46.0,1.243,,0,12,0,12,9,Above Avg
Norwich City,NORWICH CITY,Championship,36,45.0,1.25,,0,14,0,16,10,Above Avg
Stoke City,STOKE CITY,Championship,37,39.0,1.054,,0,13,0,15,3,Elite
Charlton Athletic,CHARLTON ATHLETIC,Championship,37,44.0,1.189,,0,12,0,14,7,Above Avg
Queens Park Rangers,QUEENS PARK RANGERS,Championship,37,59.0,1.595,,0,13,0,16,23,Weak
Portsmouth,PORTSMOUTH,Championship,36,47.0,1.306,,0,10,0,16,16,Avg
Blackburn Rovers,BLACKBURN ROVERS,Championship,37,48.0,1.297,,0,10,0,18,12,Above Avg
Leicester City,LEICESTER,Championship,37,57.0,1.541,,0,11,0,15,22,Weak
Oxford United,OXFORD UNITED,Championship,37,48.0,1.297,,0,9,0,17,12,Above Avg
West Bromwich Albion,WEST BROMWICH ALBION,Championship,37,54.0,1.459,,0,9,0,18,21,Weak
Sheffield Wednesday,SHEFFIELD WEDNESDAY,Championship,37,74.0,2.0,,0,1,0,27,24,Weak
Arsenal,ARSENAL,EPL,30,22.0,0.733,,0,20,0,3,1,Elite
Manchester City,MAN CITY,EPL,29,27.0,0.931,,0,18,0,5,2,Elite
Manchester United,MAN UNITED,EPL,29,40.0,1.379,,0,14,0,6,10,Above Avg
Aston Villa,ASTON VILLA,EPL,29,34.0,1.172,,0,15,0,8,4,Elite
Chelsea,CHELSEA,EPL,29,34.0,1.172,,0,13,0,7,4,Elite
Liverpool,LIVERPOOL,EPL,29,39.0,1.345,,0,14,0,9,9,Above Avg
Brentford,BRENTFORD,EPL,29,40.0,1.379,,0,13,0,11,10,Above Avg
Everton,EVERTON,EPL,29,33.0,1.138,,0,12,0,10,3,Elite
AFC Bournemouth,AFC BOURNEMOUTH,EPL,29,46.0,1.586,,0,9,0,7,15,Avg
Fulham,FULHAM,EPL,29,43.0,1.483,,0,12,0,13,12,Avg
Sunderland,SUNDERLAND,EPL,29,34.0,1.172,,0,10,0,9,4,Elite
Newcastle United,NEWCASTLE,EPL,29,43.0,1.483,,0,11,0,12,12,Avg
Crystal Palace,CRYSTAL PALACE,EPL,29,35.0,1.207,,0,10,0,11,7,Above Avg
Brighton & Hove Albion,BRIGHTON,EPL,29,36.0,1.241,,0,9,0,10,8,Above Avg
Leeds United,LEEDS,EPL,29,48.0,1.655,,0,7,0,12,17,Weak
Tottenham Hotspur,SPURS,EPL,29,46.0,1.586,,0,7,0,14,15,Avg
Nottingham Forest,NOTTM FOREST,EPL,29,43.0,1.483,,0,7,0,15,12,Avg
West Ham United,WEST HAM,EPL,29,54.0,1.862,,0,7,0,15,19,Weak
Burnley,BURNLEY,EPL,29,58.0,2.0,,0,4,0,18,20,Weak
Wolverhampton Wanderers,WOLVES,EPL,30,52.0,1.733,,0,3,0,20,18,Weak
PSV Eindhoven,PSV EINDHOVEN,Eredivisie,26,31.0,1.192,,0,22,0,2,2,Elite
Feyenoord Rotterdam,FEYENOORD ROTTERDAM,Eredivisie,26,38.0,1.462,,0,15,0,7,6,Above Avg
NEC Nijmegen,NEC NIJMEGEN,Eredivisie,26,43.0,1.654,,0,13,0,6,10,Avg
FC Twente,FC TWENTE,Eredivisie,26,27.0,1.038,,0,11,0,4,1,Elite
Ajax Amsterdam,AJAX AMSTERDAM,Eredivisie,26,34.0,1.308,,0,11,0,4,4,Elite
AZ Alkmaar,AZ ALKMAAR,Eredivisie,26,42.0,1.615,,0,11,0,9,7,Above Avg
Sparta Rotterdam,SPARTA ROTTERDAM,Eredivisie,26,43.0,1.654,,0,11,0,10,10,Avg
Heerenveen,HEERENVEEN,Eredivisie,26,44.0,1.692,,0,10,0,9,13,Avg
FC Utrecht,FC UTRECHT,Eredivisie,26,31.0,1.192,,0,9,0,9,2,Elite
FC Groningen,FC GRONINGEN,Eredivisie,26,36.0,1.385,,0,10,0,12,5,Above Avg
Fortuna Sittard,FORTUNA SITTARD,Eredivisie,26,49.0,1.885,,0,9,0,12,16,Weak
Go Ahead Eagles,GO AHEAD EAGLES,Eredivisie,26,43.0,1.654,,0,6,0,9,10,Avg
PEC Zwolle,PEC ZWOLLE,Eredivisie,26,51.0,1.962,,0,7,0,11,17,Weak
FC Volendam,FC VOLENDAM,Eredivisie,26,44.0,1.692,,0,7,0,13,13,Avg
Excelsior,EXCELSIOR,Eredivisie,26,44.0,1.692,,0,7,0,14,13,Avg
Telstar,TELSTAR,Eredivisie,26,42.0,1.615,,0,5,0,12,7,Above Avg
NAC Breda,NAC BREDA,Eredivisie,26,42.0,1.615,,0,5,0,13,7,Above Avg
Heracles Almelo,HERACLES ALMELO,Eredivisie,26,65.0,2.5,,0,5,0,18,18,Weak
Barcelona,BARCELONA,La Liga,27,26.0,0.963,,0,22,0,4,3,Elite
Real Madrid,REAL MADRID,La Liga,27,23.0,0.852,,0,20,0,4,1,Elite
Atlético Madrid,ATLÉTICO MADRID,La Liga,27,25.0,0.926,,0,16,0,5,2,Elite
Villarreal,VILLARREAL,La Liga,27,32.0,1.185,,0,17,0,7,6,Above Avg
Real Betis,BETIS,La Liga,27,34.0,1.259,,0,11,0,6,9,Above Avg
Celta Vigo,CELTA,La Liga,27,30.0,1.111,,0,10,0,7,5,Elite
Espanyol,ESPANYOL,La Liga,27,40.0,1.481,,0,10,0,10,12,Avg
Real Sociedad,REAL SOCIEDAD,La Liga,27,41.0,1.519,,0,9,0,10,13,Avg
Getafe,GETAFE,La Liga,27,29.0,1.074,,0,10,0,12,4,Elite
Athletic Club,ATHLETIC BILBAO,La Liga,27,37.0,1.37,,0,10,0,12,10,Above Avg
Osasuna,OSASUNA,La Liga,27,32.0,1.185,,0,9,0,11,6,Above Avg
