player,team,prop_type,actual,SOG,G,A,PTS,HIT,BS,PIM,PM,PPP,FOW,TOI
Nikita Grebenkin,PHI,PIM,6.0,0.0,0.0,0.0,0.0,,2.0,6.0,0.0,,,
Rasmus Ristolainen,PHI,Blocked Shots,5.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Alexandre Carrier,MTL,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,0.0,,,
Lane Hutson,MTL,PIM,4.0,0.0,0.0,1.0,1.0,,3.0,4.0,1.0,,,
Brandon Duhaime,WSH,PIM,4.0,0.0,0.0,0.0,0.0,,0.0,4.0,0.0,,,
Thomas Chabot,OTT,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,0.0,-1.0,,,
Timothy Liljegren,WSH,Blocked Shots,4.0,0.0,0.0,0.0,0.0,,4.0,2.0,0.0,,,
Lane Hutson,MTL,Blocked Shots,3.0,0.0,0.0,1.0,1.0,,3.0,4.0,1.0,,,
Trevor Zegras,PHI,Plus/Minus,3.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Juraj Slafkovsky,MTL,Blocked Shots,3.0,0.0,1.0,0.0,1.0,,3.0,0.0,0.0,,,
Travis Sanheim,PHI,Plus/Minus,3.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Sean Couturier,PHI,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Noah Cates,PHI,Plus/Minus,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,,,
Noah Cates,PHI,Points,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,,,
Travis Konecny,PHI,PIM,2.0,0.0,1.0,0.0,1.0,,0.0,2.0,1.0,,,
Noah Cates,PHI,Assists,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,,,
Noah Juulsen,PHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Trevor Zegras,PHI,PIM,2.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Noah Cates,PHI,Blocked Shots,2.0,0.0,0.0,2.0,2.0,,2.0,0.0,2.0,,,
Owen Tippett,PHI,Points,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Ivan Demidov,MTL,PIM,2.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Nikita Grebenkin,PHI,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,6.0,0.0,,,
Owen Tippett,PHI,Plus/Minus,2.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Cam York,PHI,Blocked Shots,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,1.0,,,
Carl Grundstrom,PHI,Plus/Minus,2.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,
Ivan Demidov,MTL,Points,2.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Jakob Chychrun,WSH,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,-4.0,,,
Tom Wilson,WSH,PIM,2.0,0.0,0.0,0.0,0.0,,1.0,2.0,-2.0,,,
Timothy Liljegren,WSH,PIM,2.0,0.0,0.0,0.0,0.0,,4.0,2.0,0.0,,,
Kaiden Guhle,MTL,Blocked Shots,2.0,0.0,0.0,1.0,1.0,,2.0,0.0,-1.0,,,
Jayden Struble,MTL,Plus/Minus,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,,,
Josh Anderson,MTL,PIM,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Josh Anderson,MTL,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Shane Pinto,OTT,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,-2.0,,,
Drake Batherson,OTT,PIM,2.0,0.0,2.0,0.0,2.0,,1.0,2.0,1.0,,,
Kirby Dach,MTL,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Rasmus Ristolainen,PHI,PIM,2.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Rasmus Ristolainen,PHI,Plus/Minus,2.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Dylan Cozens,OTT,PIM,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Drake Batherson,OTT,Points,2.0,0.0,2.0,0.0,2.0,,1.0,2.0,1.0,,,
Michael Amadio,OTT,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,-2.0,,,
Tim Stutzle,OTT,Points,2.0,0.0,0.0,2.0,2.0,,1.0,0.0,1.0,,,
Tim Stutzle,OTT,Assists,2.0,0.0,0.0,2.0,2.0,,1.0,0.0,1.0,,,
Drake Batherson,OTT,Goals,2.0,0.0,2.0,0.0,2.0,,1.0,2.0,1.0,,,
Mike Matheson,MTL,Blocked Shots,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,,
Carl Grundstrom,PHI,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,
Oliver Kapanen,MTL,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Carl Grundstrom,PHI,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,2.0,,,
Ivan Demidov,MTL,Goals,1.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Phillip Danault,MTL,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Jake Evans,MTL,Assists,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Ivan Demidov,MTL,Assists,1.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Cam York,PHI,Points,1.0,0.0,0.0,1.0,1.0,,2.0,0.0,1.0,,,
Travis Konecny,PHI,Plus/Minus,1.0,0.0,1.0,0.0,1.0,,0.0,2.0,1.0,,,
Cam York,PHI,Assists,1.0,0.0,0.0,1.0,1.0,,2.0,0.0,1.0,,,
Cam York,PHI,Plus/Minus,1.0,0.0,0.0,1.0,1.0,,2.0,0.0,1.0,,,
Noah Juulsen,PHI,Plus/Minus,1.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Zack Bolduc,MTL,Plus/Minus,1.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
Alexandre Texier,MTL,Plus/Minus,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,
Alexandre Texier,MTL,Blocked Shots,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,
Alexandre Texier,MTL,Points,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,
Alexandre Texier,MTL,Goals,1.0,0.0,1.0,0.0,1.0,,1.0,0.0,1.0,,,
Matt Roy,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,-1.0,,,
Jamie Drysdale,PHI,Plus/Minus,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,,
Jamie Drysdale,PHI,Points,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,,
Jamie Drysdale,PHI,Goals,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,1.0,,,
Trevor Zegras,PHI,Points,1.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Trevor Zegras,PHI,Blocked Shots,1.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Alex Bump,PHI,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Trevor Zegras,PHI,Goals,1.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Alex Bump,PHI,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Juraj Slafkovsky,MTL,Goals,1.0,0.0,1.0,0.0,1.0,,3.0,0.0,0.0,,,
Juraj Slafkovsky,MTL,Points,1.0,0.0,1.0,0.0,1.0,,3.0,0.0,0.0,,,
Jake Evans,MTL,Plus/Minus,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Travis Konecny,PHI,Goals,1.0,0.0,1.0,0.0,1.0,,0.0,2.0,1.0,,,
Travis Konecny,PHI,Points,1.0,0.0,1.0,0.0,1.0,,0.0,2.0,1.0,,,
Christian Dvorak,PHI,Plus/Minus,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Christian Dvorak,PHI,Assists,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Christian Dvorak,PHI,Points,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Christian Dvorak,PHI,Blocked Shots,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Luke Glendening,PHI,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Jake Evans,MTL,Points,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Owen Tippett,PHI,Goals,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Owen Tippett,PHI,Assists,1.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Jake Evans,MTL,Blocked Shots,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Alex Newhook,MTL,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Tom Wilson,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,2.0,-2.0,,,
Trevor van Riemsdyk,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,-1.0,,,
Kaiden Guhle,MTL,Assists,1.0,0.0,0.0,1.0,1.0,,2.0,0.0,-1.0,,,
Noah Dobson,MTL,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Nick Jensen,OTT,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Nikolas Matinpalo,OTT,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Pierre-Luc Dubois,WSH,Blocked Shots,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,-2.0,,,
Lane Hutson,MTL,Plus/Minus,1.0,0.0,0.0,1.0,1.0,,3.0,4.0,1.0,,,
Pierre-Luc Dubois,WSH,Points,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,-2.0,,,
Ryan Leonard,WSH,Points,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,-2.0,,,
Ethen Frank,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Pierre-Luc Dubois,WSH,Assists,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,-2.0,,,
Alex Ovechkin,WSH,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,-1.0,,,
Alex Ovechkin,WSH,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,-1.0,,,
Connor McMichael,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,-1.0,,,
Ryan Leonard,WSH,Goals,1.0,0.0,1.0,0.0,1.0,,0.0,0.0,-2.0,,,
Kaiden Guhle,MTL,Points,1.0,0.0,0.0,1.0,1.0,,2.0,0.0,-1.0,,,
Nick Suzuki,MTL,Assists,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,,,
Nick Suzuki,MTL,Points,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,,,
Nick Suzuki,MTL,Blocked Shots,1.0,0.0,0.0,1.0,1.0,,1.0,0.0,0.0,,,
Alex Newhook,MTL,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Martin Fehervary,WSH,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Claude Giroux,OTT,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,,
Brady Tkachuk,OTT,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Tyler Kleven,OTT,Blocked Shots,1.0,0.0,0.0,0.0,0.0,,1.0,0.0,0.0,,,
Tim Stutzle,OTT,Blocked Shots,1.0,0.0,0.0,2.0,2.0,,1.0,0.0,1.0,,,
Tim Stutzle,OTT,Plus/Minus,1.0,0.0,0.0,2.0,2.0,,1.0,0.0,1.0,,,
Brady Tkachuk,OTT,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,0.0,,,
Lane Hutson,MTL,Points,1.0,0.0,0.0,1.0,1.0,,3.0,4.0,1.0,,,
Lane Hutson,MTL,Assists,1.0,0.0,0.0,1.0,1.0,,3.0,4.0,1.0,,,
Claude Giroux,OTT,Plus/Minus,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,,
Claude Giroux,OTT,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,1.0,,,
Drake Batherson,OTT,Plus/Minus,1.0,0.0,2.0,0.0,2.0,,1.0,2.0,1.0,,,
Drake Batherson,OTT,Blocked Shots,1.0,0.0,2.0,0.0,2.0,,1.0,2.0,1.0,,,
Travis Sanheim,PHI,Points,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Travis Sanheim,PHI,Assists,1.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Zack Bolduc,MTL,Goals,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,,,
Josh Anderson,MTL,Goals,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Josh Anderson,MTL,Assists,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Josh Anderson,MTL,Points,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Josh Anderson,MTL,Plus/Minus,0.0,0.0,0.0,0.0,0.0,,2.0,2.0,0.0,,,
Travis Sanheim,PHI,Blocked Shots,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Travis Sanheim,PHI,Goals,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Travis Sanheim,PHI,Shots On Goal,0.0,0.0,0.0,1.0,1.0,,0.0,0.0,3.0,,,
Rasmus Ristolainen,PHI,Points,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Rasmus Ristolainen,PHI,Assists,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Nick Seeler,PHI,Assists,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Nick Seeler,PHI,Goals,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Nick Seeler,PHI,Shots On Goal,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Matvei Michkov,PHI,Points,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Ivan Demidov,MTL,Blocked Shots,0.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Ivan Demidov,MTL,Plus/Minus,0.0,0.0,1.0,1.0,2.0,,0.0,2.0,0.0,,,
Jake Evans,MTL,Shots On Goal,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Jake Evans,MTL,Goals,0.0,0.0,0.0,1.0,1.0,,1.0,0.0,1.0,,,
Noah Juulsen,PHI,Points,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Noah Juulsen,PHI,PIM,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,1.0,,,
Rasmus Ristolainen,PHI,Shots On Goal,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Rasmus Ristolainen,PHI,Goals,0.0,0.0,0.0,0.0,0.0,,5.0,2.0,2.0,,,
Matvei Michkov,PHI,Blocked Shots,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Matvei Michkov,PHI,PIM,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Matvei Michkov,PHI,Plus/Minus,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Owen Tippett,PHI,Shots On Goal,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Owen Tippett,PHI,Blocked Shots,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Owen Tippett,PHI,PIM,0.0,0.0,1.0,1.0,2.0,,0.0,0.0,2.0,,,
Trevor Zegras,PHI,Shots On Goal,0.0,0.0,1.0,0.0,1.0,,1.0,2.0,3.0,,,
Warren Foegele,OTT,Shots On Goal,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,Goals,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,Assists,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,Points,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,Blocked Shots,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,PIM,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Warren Foegele,OTT,Plus/Minus,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,
Nick Cousins,OTT,Shots On Goal,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Nick Cousins,OTT,Goals,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Nick Cousins,OTT,Assists,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Nick Cousins,OTT,Points,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Nick Cousins,OTT,Blocked Shots,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Nick Cousins,OTT,PIM,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,-2.0,,,
Dylan Cozens,OTT,Shots On Goal,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Dylan Cozens,OTT,Goals,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
Dylan Cozens,OTT,Assists,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,
